symbol,settle_date,contract_num,open,high,low,close,adj_close,volume,open_interest
CLF21,20160209,59,0.0,46.27,46.27,46.27,46.27,0,0
CLF17,20160210,11,37.96,38.8,37.6,37.88,37.88,6057,31227
CLF18,20160210,23,0.0,41.59,41.59,41.59,41.59,20,5130
CLF19,20160210,35,0.0,43.9,43.9,43.9,43.9,0,216
CLF20,20160210,47,0.0,45.51,45.51,45.51,45.51,0,0
CLF21,20160210,59,0.0,46.68,46.68,46.68,46.68,0,0
CLF17,20160211,11,37.75,38.15,37.01,37.24,37.24,3323,31386
CLF18,20160211,23,0.0,41.37,41.37,41.37,41.37,47,5173
CLF19,20160211,35,0.0,43.83,43.83,43.83,43.83,0,216
CLF20,20160211,47,0.0,45.52,45.52,45.52,45.52,0,0
CLF21,20160211,59,0.0,46.72,46.72,46.72,46.72,0,0
CLF17,20160212,11,38.51,40.02,38.15,40.02,40.02,3139,31217
CLF18,20160212,23,0.0,44.01,44.01,44.01,44.01,512,5301
CLF19,20160212,35,0.0,46.37,46.37,46.37,46.37,0,216
CLF20,20160212,47,0.0,48.03,48.03,48.03,48.03,0,0
CLF21,20160212,59,0.0,49.19,49.19,49.19,49.19,0,0
CLF17,20160216,11,39.43,41.52,38.46,38.66,38.66,6572,31711
CLF18,20160216,23,0.0,42.65,42.65,42.65,42.65,517,5325
CLF19,20160216,35,0.0,45.1,45.1,45.1,45.1,0,216
CLF20,20160216,47,0.0,46.83,46.83,46.83,46.83,0,0
CLF21,20160216,59,0.0,48.02,48.02,48.02,48.02,0,0
CLF17,20160217,11,39.14,40.91,39.07,40.54,40.54,3084,31687
CLF18,20160217,23,0.0,44.25,44.25,44.25,44.25,261,5507
CLF19,20160217,35,0.0,46.34,46.34,46.34,46.34,0,216
CLF20,20160217,47,0.0,47.8,47.8,47.8,47.8,0,0
CLF21,20160217,59,0.0,48.87,48.87,48.87,48.87,0,0
CLF17,20160218,11,40.75,41.08,39.76,40.12,40.12,5087,32586
CLF18,20160218,23,0.0,43.62,43.62,43.62,43.62,675,6102
CLF19,20160218,35,0.0,45.73,45.73,45.73,45.73,0,216
CLF20,20160218,47,0.0,47.26,47.26,47.26,47.26,0,0
CLF21,20160218,59,0.0,48.36,48.36,48.36,48.36,0,0
CLF17,20160219,11,40.01,40.05,38.87,38.98,38.98,2502,32952
CLF18,20160219,23,0.0,42.62,42.62,42.62,42.62,194,6259
CLF19,20160219,35,0.0,44.76,44.76,44.76,44.76,0,216
CLF20,20160219,47,0.0,46.31,46.31,46.31,46.31,0,0
CLF21,20160219,59,0.0,47.41,47.41,47.41,47.41,0,0
CLF17,20160222,11,38.98,40.49,38.98,40.35,40.35,1680,33193
CLF18,20160222,23,0.0,43.76,43.76,43.76,43.76,69,6327
CLF19,20160222,35,0.0,45.81,45.81,45.81,45.81,0,216
CLF20,20160222,47,0.0,47.3,47.3,47.3,47.3,0,0
CLF21,20160222,59,0.0,48.38,48.38,48.38,48.38,0,0
CLF17,20160223,10,39.92,40.53,39.09,39.29,39.29,3523,33221
CLF18,20160223,22,0.0,42.73,42.73,42.73,42.73,219,6455
CLF19,20160223,34,0.0,44.74,44.74,44.74,44.74,0,216
CLF20,20160223,46,0.0,46.19,46.19,46.19,46.19,0,0
CLF21,20160223,58,0.0,47.27,47.27,47.27,47.27,0,0
CLF17,20160224,10,38.71,40.08,38.43,40.08,40.08,3077,32366
CLF18,20160224,22,0.0,43.38,43.37,43.37,43.37,45,6497
CLF19,20160224,34,0.0,45.2,45.2,45.2,45.2,0,216
CLF20,20160224,46,0.0,46.55,46.55,46.55,46.55,0,0
CLF21,20160224,58,0.0,47.56,47.56,47.56,47.56,0,0
CLF17,20160225,10,39.84,40.57,39.08,40.4,40.4,1775,32155
CLF18,20160225,22,0.0,43.49,43.49,43.49,43.49,25,6522
CLF19,20160225,34,0.0,45.37,45.37,45.37,45.37,0,216
